snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T18:00:00+02:00,2026-09-23T19:00:00+02:00,Physical Flow,hour,20185000,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T20:16:50+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T19:00:00+02:00,2026-09-23T20:00:00+02:00,Physical Flow,hour,20095278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T21:29:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T20:00:00+02:00,2026-09-23T21:00:00+02:00,Physical Flow,hour,20079444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T22:35:15+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T21:00:00+02:00,2026-09-23T22:00:00+02:00,Physical Flow,hour,20047778,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T23:29:09+02:00
2026-09-23T21:48:32+00:00,gate,2026-09-23,2026-09-23T22:00:00+02:00,2026-09-23T23:00:00+02:00,Physical Flow,hour,0,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-23T23:29:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T06:00:00+02:00,2026-09-22T07:00:00+02:00,Physical Flow,hour,10021944,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T08:43:10+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T07:00:00+02:00,2026-09-22T08:00:00+02:00,Physical Flow,hour,10521111,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T10:04:49+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T08:00:00+02:00,2026-09-22T09:00:00+02:00,Physical Flow,hour,10550000,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T11:20:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T09:00:00+02:00,2026-09-22T10:00:00+02:00,Physical Flow,hour,10561111,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T12:27:42+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T10:00:00+02:00,2026-09-22T11:00:00+02:00,Physical Flow,hour,10561111,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T13:26:50+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T11:00:00+02:00,2026-09-22T12:00:00+02:00,Physical Flow,hour,10565833,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T13:26:50+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T12:00:00+02:00,2026-09-22T13:00:00+02:00,Physical Flow,hour,10570278,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T15:00:49+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T13:00:00+02:00,2026-09-22T14:00:00+02:00,Physical Flow,hour,10574167,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T15:53:50+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T14:00:00+02:00,2026-09-22T15:00:00+02:00,Physical Flow,hour,10560833,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T17:41:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T15:00:00+02:00,2026-09-22T16:00:00+02:00,Physical Flow,hour,10558611,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T18:18:52+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T16:00:00+02:00,2026-09-22T17:00:00+02:00,Physical Flow,hour,10571667,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T18:48:50+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T17:00:00+02:00,2026-09-22T18:00:00+02:00,Physical Flow,hour,10589444,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T20:28:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T18:00:00+02:00,2026-09-22T19:00:00+02:00,Physical Flow,hour,10598889,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T20:28:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T19:00:00+02:00,2026-09-22T20:00:00+02:00,Physical Flow,hour,10617222,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T21:22:29+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T20:00:00+02:00,2026-09-22T21:00:00+02:00,Physical Flow,hour,10678333,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T23:26:30+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T21:00:00+02:00,2026-09-22T22:00:00+02:00,Physical Flow,hour,10698611,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-22T23:26:30+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T22:00:00+02:00,2026-09-22T23:00:00+02:00,Physical Flow,hour,10619444,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T00:22:50+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-22,2026-09-22T23:00:00+02:00,2026-09-23T00:00:00+02:00,Physical Flow,hour,10551111,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T02:26:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T00:00:00+02:00,2026-09-23T01:00:00+02:00,Physical Flow,hour,10548889,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T02:26:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T01:00:00+02:00,2026-09-23T02:00:00+02:00,Physical Flow,hour,10541944,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T04:35:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T02:00:00+02:00,2026-09-23T03:00:00+02:00,Physical Flow,hour,10536389,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T05:29:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T03:00:00+02:00,2026-09-23T04:00:00+02:00,Physical Flow,hour,10483611,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T05:29:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T04:00:00+02:00,2026-09-23T05:00:00+02:00,Physical Flow,hour,10523611,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T06:27:29+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T05:00:00+02:00,2026-09-23T06:00:00+02:00,Physical Flow,hour,10504444,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T07:37:09+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T06:00:00+02:00,2026-09-23T07:00:00+02:00,Physical Flow,hour,10348056,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T08:53:29+02:00
2026-09-23T21:48:32+00:00,eems,2026-09-23,2026-09-23T07:00:00+02:00,2026-09-23T08:00:00+02:00,Physical Flow,hour,10363333,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-23T09:59:09+02:00
