snapshot_utc,series,terminal,sub,epoch_ms,time_label,value_mcm_d
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371720000.0,,3.19376257307455
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371840000.0,,3.19376257307455
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789371960000.0,,3.19376257307455
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789372080000.0,,3.19376257307455
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789372200000.0,,3.22474511701986
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789372320000.0,,3.22474511701986
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789372440000.0,,3.1657467039339195
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789372560000.0,,3.1657467039339195
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789372680000.0,,3.1838745115511102
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789372800000.0,,3.1838745115511102
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789372920000.0,,3.1614616697542397
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789373040000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789373160000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789373280000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789373400000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789373520000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789373640000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789373760000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789373880000.0,,3.21881213362142
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374000000.0,,3.1571770017854903
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374120000.0,,3.1571770017854903
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374240000.0,,3.1571770017854903
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374360000.0,,3.17365686018392
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374480000.0,,3.17365686018392
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374600000.0,,3.2296889646761104
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374720000.0,,3.2296889646761104
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374840000.0,,3.15223315412924
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789374960000.0,,3.15223315412924
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789375080000.0,,3.15223315412924
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789375200000.0,,3.15223315412924
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789375320000.0,,3.15223315412924
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789375440000.0,,3.15223315412924
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789375560000.0,,3.15223315412924
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789375680000.0,,3.15223315412924
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789375800000.0,,3.1868411863558004
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789375920000.0,,3.1868411863558004
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789376040000.0,,3.20529858381674
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789376160000.0,,3.20529858381674
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789376280000.0,,3.1469593504183
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789376400000.0,,3.1469593504183
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789376520000.0,,3.1469593504183
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789376640000.0,,3.1838745115511102
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789376760000.0,,3.25902355940267
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789376880000.0,,3.25902355940267
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377000000.0,,3.20134350569174
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377120000.0,,3.20134350569174
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377240000.0,,3.20134350569174
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377360000.0,,3.20134350569174
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377480000.0,,3.18090820295736
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377600000.0,,3.18090820295736
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377720000.0,,3.25836437971517
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377840000.0,,3.25836437971517
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789377960000.0,,3.2181529539339198
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789378080000.0,,3.2181529539339198
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789378200000.0,,3.2181529539339198
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789378320000.0,,3.2181529539339198
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789378440000.0,,3.25737524397299
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789378560000.0,,3.25737524397299
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789378680000.0,,3.21782336409017
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789378800000.0,,3.21782336409017
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789378920000.0,,3.2372698972932996
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789379040000.0,,3.2372698972932996
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789379160000.0,,3.29527954084799
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789379280000.0,,3.29527954084799
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789379400000.0,,3.25638647444174
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789379520000.0,,3.25638647444174
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789379640000.0,,3.18024902326986
2026-09-14T16:54:19+00:00,area_trajectory,grain,,1789379760000.0,,3.18024902326986
